celltype,4T1S,4T1T,EMPT6S,EMPT6T,N_S
Act. Neu,7.85,0.0,6.460000000000001,0.0,2.29
Ccl3hi_TAN,0.0,42.8,0.0,43.669999999999995,0.0
Cxcr2hi_TAN,0.0,15.559999999999999,0.0,14.56,0.0
IFN Neu,4.5,0.0,9.950000000000001,0.0,4.569999999999999
Il1bhi_TAN,0.0,30.459999999999997,0.0,32.910000000000004,0.0
Immature Neu,18.38,0.0,6.98,0.0,3.4299999999999997
Inflam. Neu,42.0,0.0,49.559999999999995,0.0,47.43
Mature Neu,15.590000000000002,0.0,22.509999999999998,0.0,37.14
Mature_TAN,0.0,11.19,0.0,8.86,0.0
Prolif. preNeu (G2M),5.1,0.0,0.35000000000000003,0.0,1.71
Prolif. preNeu (S),6.59,0.0,4.19,0.0,3.4299999999999997
