,Prolif. preNeu (S),Prolif. preNeu (G2M),Immature Neu,Act. Neu,Mature Neu,IFN Neu,Inflam. Neu,Mature_TAN,Il1bhi_TAN,Ccl3hi_TAN,Cxcr2hi_TAN
Prolif. preNeu (S),0.0,1.0,0.2347,0.2569,0.0194,0.0142,0.0247,0.0142,0.0025,0.069,0.0302
Prolif. preNeu (G2M),1.0,0.0,0.6351,0.1942,0.0151,0.0105,0.0057,0.0032,0.0035,0.0305,0.2101
Immature Neu,0.2347,0.6351,0.0,1.0,0.0166,0.0033,0.0056,0.0114,0.0013,0.0027,0.0118
Act. Neu,0.2569,0.1942,1.0,0.0,1.0,0.0987,0.0998,0.1043,0.0211,0.0655,0.1173
Mature Neu,0.0194,0.0151,0.0166,1.0,0.0,0.5598,0.6417,0.0729,0.0122,0.0145,0.0428
IFN Neu,0.0142,0.0105,0.0033,0.0987,0.5598,0.0,0.6893,0.0122,0.1197,0.0319,0.1295
Inflam. Neu,0.0247,0.0057,0.0056,0.0998,0.6417,0.6893,0.0,0.0392,0.0119,0.0188,0.167
Mature_TAN,0.0142,0.0032,0.0114,0.1043,0.0729,0.0122,0.0392,0.0,1.0,0.7296,0.8268
Il1bhi_TAN,0.0025,0.0035,0.0013,0.0211,0.0122,0.1197,0.0119,1.0,0.0,1.0,1.0
Ccl3hi_TAN,0.069,0.0305,0.0027,0.0655,0.0145,0.0319,0.0188,0.7296,1.0,0.0,1.0
Cxcr2hi_TAN,0.0302,0.2101,0.0118,0.1173,0.0428,0.1295,0.167,0.8268,1.0,1.0,0.0
