celltype,n_cells,median_PT,mean_PT,std_PT,Q1_PT,Q3_PT,min_PT,max_PT,tissue
Prolif. preNeu (S),467,0.1455,0.244,0.2308,0.1113,0.2429,0.0,0.9191,Spleen
Prolif. preNeu (G2M),343,0.7309,0.589,0.2458,0.3135,0.7895,0.106,0.9454,Spleen
Immature Neu,1264,0.896,0.8769,0.0984,0.8874,0.9018,0.1021,0.9182,Spleen
Act. Neu,561,0.9045,0.8911,0.0799,0.8999,0.9099,0.1671,0.9762,Spleen
Mature Neu,1227,0.9517,0.9455,0.031,0.9394,0.9602,0.575,0.9855,Spleen
IFN Neu,363,0.9692,0.9647,0.0341,0.9636,0.9737,0.6449,0.9873,Spleen
Inflam. Neu,3151,0.9627,0.959,0.029,0.9557,0.9686,0.5208,0.9895,Spleen
Mature_TAN,198,0.9637,0.9586,0.0256,0.9552,0.9702,0.756,0.9863,Tumor
Il1bhi_TAN,553,0.9769,0.9715,0.0392,0.9714,0.9821,0.6449,0.9994,Tumor
Ccl3hi_TAN,773,0.9728,0.9552,0.0813,0.967,0.98,0.2414,1.0,Tumor
Cxcr2hi_TAN,279,0.9654,0.9528,0.0669,0.959,0.9743,0.3237,0.9938,Tumor
